DATAFLOW,LAST UPDATE,freq,landuse,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,AL:Albania,2022,28791,e
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,AT:Austria,2022,83878,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,BE:Belgium,2022,30667,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,BG:Bulgaria,2022,110996,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,CH:Switzerland,2022,41287,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,CY:Cyprus,2022,9253,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,CZ:Czechia,2022,78871,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,DE:Germany (until 1990 former territory of the FRG),2022,357569,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,DK:Denmark,2022,42925,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,EE:Estonia,2022,45336,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,EL:Greece,2022,131694,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,ES:Spain,2022,505983,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,FI:Finland,2022,338411,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,FR:France,2022,638475,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,HR:Croatia,2022,56594,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,HU:Hungary,2022,93012,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,IE:Ireland,2022,69947,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,IS:Iceland,2022,102679,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,IT:Italy,2022,302079,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,LI:Liechtenstein,2022,160,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,LT:Lithuania,2022,65284,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,LU:Luxembourg,2022,2595,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,LV:Latvia,2022,64586,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,ME:Montenegro,2022,13882,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,MK:North Macedonia,2022,25435,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,MT:Malta,2022,316,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,NL:Netherlands,2022,37378,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,NO:Norway,2022,384486,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,PL:Poland,2022,311928,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,PT:Portugal,2022,92227,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,RO:Romania,2022,238398,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,SE:Sweden,2022,447424,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,SI:Slovenia,2022,20273,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,SK:Slovakia,2022,49035,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,TR:TÃ¼rkiye,2022,780270,
ESTAT:REG_AREA3(1.0),19/06/23 23:00:00,A:Annual,TOTAL:Total area,KM2:Square kilometre,UK:United Kingdom,2022,244423,
