"Nationaliteit","Perioden","Verblijfsvergunning asiel Totaal verblijfsvergunningen asiel (aantal)","Vluchtelingenstatus / Subsidiaire status (aantal)","Humanitaire redenen (aantal)","Verblijfsvergunning regulier naar motief Totaal verblijfsvergunning regulier (aantal)","Verblijfsvergunning regulier naar motief Gezinshereniging / gezinsvorming
Totaal gezinshereniging / gezinsvorming (aantal)","Gezinshereniging / gezinsvorming Echtgenote / echtgenoot (aantal)","Gezinshereniging / gezinsvorming Minderjarig kind (aantal)","Gezinshereniging / gezinsvorming Overige gezinshereniging (aantal)","Verblijfsvergunning regulier naar motief Studie (aantal)","Verblijfsvergunning regulier naar motief Arbeid als werknemer of zelfstandige
Totaal arbeid (aantal)","Arbeid als werknemer of zelfstandige Kenniswerker / Blue Card (aantal)","Arbeid als werknemer of zelfstandige Onderzoeker (aantal)","Arbeid als werknemer of zelfstandige Overige arbeid (aantal)","Overige reguliere vergunning Slachtoffer mensenhandel (aantal)","Overige reguliere vergunning Overig regulier (aantal)","GVVA (aantal)"
"Totaal","2008","6.090",".",".","56.495","24.085","11.650","9.770","2.665","8.850","11.615","6.410","865","4.340","0","11.945",""
"Totaal","2009","8.490","4.475","4.015","48.000","23.080","11.195","8.860","3.020","9.945","10.435","4.895","1.305","4.235","0","4.545",""
"Totaal","2010","8.680","5.300","3.380","45.800","21.565","10.905","8.100","2.560","10.510","10.450","5.530","1.485","3.430","0","3.275",""
"Totaal","2011","8.380","6.040","2.345","46.690","22.325","11.730","8.220","2.375","10.700","10.960","5.595","1.615","3.750","340","2.365",""
"Totaal","2012","5.920","4.315","1.605","45.240","21.160","10.015","8.540","2.605","10.745","10.920","5.515","1.690","3.715","320","2.095",""
"Totaal","2013","9.545","4.695","4.850","55.195","25.375","12.255","11.065","2.055","12.880","12.675","7.045","2.365","3.260","210","4.055",""
"Totaal","2014","18.620","12.465","6.155","50.950","22.115","11.520","9.505","1.090","12.745","11.780","7.130","2.310","2.340","180","4.125","545"
"Totaal","2015","31.085","16.895","14.190","55.605","21.685","11.075","9.210","1.395","15.265","13.310","7.930","2.420","2.960","135","5.215","1.160"
"Totaal","2016","34.250","21.990","12.260","61.505","24.960","12.590","10.600","1.770","16.315","14.620","9.125","2.520","2.975","120","5.485","935"
"Totaal","2017","25.815","10.565","15.250","71.580","30.970","13.735","12.340","4.890","17.240","17.745","11.310","2.750","3.685","155","5.480","1.785"
"Totaal","2018","12.445","5.335","7.110","79.620","34.035","15.265","13.770","5.005","18.470","20.885","13.510","3.065","4.310","290","5.940","2.050"
"Totaal","2019","11.890","6.940","4.950","90.240","38.655","17.045","15.655","5.955","20.180","22.030","14.335","3.240","4.455","385","8.995","2.590"
"Totaal","2020","14.045","9.200","4.850","59.465","28.870","12.585","11.690","4.595","11.645","13.345","8.170","2.430","2.745","155","5.445","1.445"
"Totaal","2021","24.705","12.985","11.720","81.165","34.535","16.530","12.975","5.030","19.580","20.770","14.490","3.175","3.105","80","6.195","1.515"